,Activity
BR:MCF7,4.01
BR:MDA-MB-231,NA
BR:HS 578T,NA
BR:BT-549,4
BR:T-47D,4
CNS:SF-268,4
CNS:SF-295,4.32
CNS:SF-539,4.17
CNS:SNB-19,4
CNS:SNB-75,6.29
CNS:U251,4.23
CO:COLO 205,8
CO:HCC-2998,4.44
CO:HCT-116,6.16
CO:HCT-15,5.03
CO:HT29,8
CO:KM12,4.14
CO:SW-620,4.67
LE:CCRF-CEM,4.36
LE:HL-60(TB),6.1
LE:K-562,4.4
LE:MOLT-4,4.22
LE:RPMI-8226,4
LE:SR,4.52
ME:LOX IMVI,NA
ME:MALME-3M,8
ME:M14,8
ME:SK-MEL-2,6.64
ME:SK-MEL-28,8
ME:SK-MEL-5,NA
ME:UACC-257,8
ME:UACC-62,8
ME:MDA-MB-435,8
ME:MDA-N,NA
LC:A549/ATCC,4.11
LC:EKVX,NA
LC:HOP-62,4
LC:HOP-92,NA
LC:NCI-H226,4
LC:NCI-H23,4
LC:NCI-H322M,4
LC:NCI-H460,NA
LC:NCI-H522,4.52
OV:IGROV1,6.17
OV:OVCAR-3,4.19
OV:OVCAR-4,4
OV:OVCAR-5,4
OV:OVCAR-8,4
OV:SK-OV-3,6.44
OV:NCI/ADR-RES,4
PR:PC-3,4
PR:DU-145,4
RE:786-0,4.81
RE:A498,6.4
RE:ACHN,6.17
RE:CAKI-1,5.25
RE:RXF 393,NA
RE:SN12C,4
RE:TK-10,4
RE:UO-31,5.33
